event,gender,place,athlete,year,team,result,converted,meet,meet_date
60 Meters,m,1,"Okon, Israel",FR-1,Auburn,6.51,False,2025 SEC Indoor Track and Field Championships,2025-02-27
60 Meters,m,1,"Ajayi, Kanyinsola",SO-2,Auburn,6.51,False,Tiger Paw Invitational,2025-02-14
60 Meters,m,3,"Stevenson, Chrstyn John (JC)",JR-3,USC,6.52,True,TTU Red Raider Invitational,2025-01-24
60 Meters,m,4,"Fuseini, Ibrahim",JR-3,East Texas A&M,6.53,True,Jarvis Scott Invite,2025-02-14
60 Meters,m,4,"Thomas, Max",JR-3,USC,6.53,False,2025 Spokane Sports Showcase,2025-01-17
60 Meters,f,1,"Godbless, Tima",SO-2,LSU,7.08,False,Tyson Invitational,2025-02-14
60 Meters,f,2,"Defrand, Dajaz",JR-3,USC,7.10,False,Big Ten Indoor Championships,2025-02-28
60 Meters,f,3,"Jackson, Kaila",JR-3,Georgia,7.12,False,2025 SEC Indoor Track and Field Championships,2025-02-27
60 Meters,f,4,"Lyston, Brianna",JR-3,LSU,7.13,False,Tyson Invitational,2025-02-14
60 Meters,f,4,"Mayberry, Indya",FR-1,TCU,7.13,True,Corky Classic,2025-01-17
200 Meters,m,1,"Charamba, Makanakaishe",SR-4,Auburn,20.13,False,2025 SEC Indoor Track and Field Championships,2025-02-27
200 Meters,m,2,"Makarawu, Carli",JR-3,Kentucky,20.20,False,2025 SEC Indoor Track and Field Championships,2025-02-27
200 Meters,m,3,"McCoy, Wanya",SR-4,Florida,20.25,False,2025 SEC Indoor Track and Field Championships,2025-02-27
200 Meters,m,4,"Miller, Cameron",SR-4,Purdue,20.27,False,Big Ten Indoor Championships,2025-02-28
200 Meters,m,4,"Reid, Jaiden",SO-2,LSU,20.27,False,2025 SEC Indoor Track and Field Championships,2025-02-27
200 Meters,f,1,"Ford, JaMeesia",SO-2,South Carolina,22.34,False,Tiger Paw Invitational,2025-02-14
200 Meters,f,2,"Burgher, Niesha",SR-4,UTEP,22.46,True,Don Kirby Elite Invitational 2025,2025-02-14
200 Meters,f,3,"Mayberry, Indya",FR-1,TCU,22.48,True,New Mexico Collegiate Classic 2025 (16 Team Invite),2025-02-07
200 Meters,f,4,"Mays, Jadyn",SR-4,Oregon,22.61,False,Big Ten Indoor Championships,2025-02-28
200 Meters,f,5,"Defrand, Dajaz",JR-3,USC,22.62,False,Big Ten Indoor Championships,2025-02-28
400 Meters,m,1,"Ezekiel, Nathaniel",SR-4,Baylor,44.85,True,Big 12 Championships,2025-02-28
400 Meters,m,2,"Davis, Jayden",SO-2,Arizona State,45.06,True,Big 12 Championships,2025-02-28
400 Meters,m,3,"Robinson, Auhmad",SR-4,Texas A&M,45.07,False,2025 SEC Indoor Track and Field Championships,2025-02-27
400 Meters,m,4,"McKiver, Jenoah",SR-4,Florida,45.19,False,Razorback Invitational,2025-01-31
400 Meters,m,5,"Floyd, Will",SO-2,Georgia,45.24,False,2025 SEC Indoor Track and Field Championships,2025-02-27
400 Meters,f,1,"Butler, Aaliyah",JR-3,Georgia,49.78,False,2025 SEC Indoor Track and Field Championships,2025-02-27
400 Meters,f,2,"Whittaker, Isabella",JR-3,Arkansas,49.90,False,2025 SEC Indoor Track and Field Championships,2025-02-27
400 Meters,f,3,"Brown, Kaylyn",SO-2,Arkansas,50.70,False,2025 SEC Indoor Track and Field Championships,2025-02-27
400 Meters,f,4,"Oakley, Dejanea",JR-3,Georgia,50.90,False,2025 SEC Indoor Track and Field Championships,2025-02-27
400 Meters,f,5,"Joseph, Rachel",JR-3,Iowa State,50.99,True,Big 12 Championships,2025-02-28
800 Meters,m,1,"McCarthy, Aidan",JR-3,Cal Poly,1:45.19,False,2025 Last Chance Indoor Nat'nl Qualifier at Boston Univ.,2025-03-02
800 Meters,m,2,"Matsatsa, Tinoda",SO-2,Georgetown,1:45.21,False,Boston University David Hemery Valentine Invitational,2025-02-14
800 Meters,m,3,"Hassan, Abdullahi",SR-4,Miss State,1:45.53,False,Orange & Purple Invitational,2025-01-24
800 Meters,m,4,"Kweyei, Brian",SO-2,Clemson,1:46.26,False,Orange & Purple Invitational,2025-01-24
800 Meters,m,5,"Smallwood, Darius",SR-4,Penn State,1:46.28,False,Penn State National Open,2025-01-31
800 Meters,f,1,"Whittaker, Juliette",JR-3,Stanford,1:59.44,False,2025 Husky Classic,2025-02-14
800 Meters,f,2,"Jallow, Sanu",JR-3,Arkansas,1:59.77,False,Tyson Invitational,2025-02-14
800 Meters,f,3,"Hunter, Meghan",SR-4,BYU,2:00.21,False,Boston University John Thomas Terrier Classic,2025-01-31
800 Meters,f,4,"Rose, Michaela",SR-4,LSU,2:00.25,False,2025 SEC Indoor Track and Field Championships,2025-02-27
800 Meters,f,5,"Paige, Makayla",SR-4,North Carolina,2:00.57,False,Boston University John Thomas Terrier Classic,2025-01-31
Mile,m,1,"Strand, Ethan",SR-4,North Carolina,3:48.32,False,Boston University John Thomas Terrier Classic,2025-01-31
Mile,m,2,"Martin, Gary",JR-3,Virginia,3:48.82,False,117th Millrose Games,2025-02-06
Mile,m,3,"Green, Nathan",JR-3,Washington,3:50.74,False,2025 UW Preview/Mile City,2025-01-17
Mile,m,4,"McMahon-Staggs, Ronan",JR-3,Washington,3:51.85,False,2025 UW Preview/Mile City,2025-01-17
Mile,m,5,"Teffra, Abel",SR-4,Georgetown,3:52.44,False,Bruce Lehane Scarlet and White Invitational,2025-02-08
Mile,f,1,"Ayyildiz, Silan",JR-3,Oregon,4:23.46,False,Boston University David Hemery Valentine Invitational,2025-02-14
Mile,f,2,"Hartman, Grace",SO-2,NC State,4:24.76,False,Boston University David Hemery Valentine Invitational,2025-02-14
Mile,f,3,"Riggins, Melissa",SR-4,Georgetown,4:24.98,False,Boston University David Hemery Valentine Invitational,2025-02-14
Mile,f,4,"Appleton, Margot",SR-4,Virginia,4:25.03,False,Boston University David Hemery Valentine Invitational,2025-02-14
Mile,f,5,"Pellicoro, Laura",SR-4,Portland,4:25.60,False,2025 UW Invite,2025-01-31
3000 Meters,m,1,"Strand, Ethan",SR-4,North Carolina,7:30.15,False,Boston University Sharon Colyear-Danville Season Opener,2024-12-07
3000 Meters,m,2,"Wolfe, Parker",SR-4,North Carolina,7:30.23,False,Boston University Sharon Colyear-Danville Season Opener,2024-12-07
3000 Meters,m,3,"Abdalla, Yaseen",SR-4,Arkansas,7:34.17,False,Boston University Sharon Colyear-Danville Season Opener,2024-12-07
3000 Meters,m,4,"Murphy, Liam",SR-4,Villanova,7:35.47,False,Bruce Lehane Scarlet and White Invitational,2025-02-08
3000 Meters,m,5,"Martin, Gary",JR-3,Virginia,7:36.09,False,Boston University Sharon Colyear-Danville Season Opener,2024-12-07
3000 Meters,f,1,"Halladay-Lowry, Lexy",SR-4,BYU,8:40.60,False,2025 Husky Classic,2025-02-14
3000 Meters,f,2,"Chamberlain, Riley",JR-3,BYU,8:40.89,False,2025 Husky Classic,2025-02-14
3000 Meters,f,3,"Stearns, Elise",SR-4,Northern Arizona,8:41.07,False,2025 Husky Classic,2025-02-14
3000 Meters,f,4,"Lemngole, Doris",SO-2,Alabama,8:41.83,False,Boston University David Hemery Valentine Invitational,2025-02-14
3000 Meters,f,5,"Kennedy, Sophia",SO-2,Stanford,8:42.53,False,2025 Husky Classic,2025-02-14
5000 Meters,m,1,"Blanks, Graham",JR-3,Harvard,12:59.89,False,Boston University Sharon Colyear-Danville Season Opener,2024-12-07
5000 Meters,m,2,"Samuel, Habtom",SO-2,New Mexico,13:04.92,False,Boston University John Thomas Terrier Classic,2025-01-31
5000 Meters,m,3,"Abdalla, Yaseen",SR-4,Arkansas,13:09.99,False,Boston University David Hemery Valentine Invitational,2025-02-14
5000 Meters,m,4,"Murphy, Liam",SR-4,Villanova,13:10.42,False,Boston University Sharon Colyear-Danville Season Opener,2024-12-07
5000 Meters,m,5,"Musau, Brian",SO-2,Oklahoma State,13:11.29,False,Boston University Sharon Colyear-Danville Season Opener,2024-12-07
