event,gender,place,athlete,year,team,result,converted,meet,meet_date
100 Meters,m,1,"Ashe, Favour",FR-1,Tennessee,9.79,False,LSU Invitational,2022-04-30
100 Meters,m,2,"Williams, Micah",SO-2,Oregon,9.83,False,62nd Annual Mt. SAC Relays (Elite),2022-04-13
100 Meters,m,3,"Kone, Ismael",SO-2,New Orleans,9.94,False,Southland Conference Outdoor Track & Field Championships,2022-05-06
100 Meters,m,4,"Harris, Micaiah",SR-4,Texas,9.96,True,Big 12 Championships,2022-05-13
100 Meters,m,5,"Boling, Matthew",SO-2,Georgia,9.98,False,UF Tom Jones Memorial,2022-04-15
100 Meters,f,1,"Barnes, Celera",SR-4,USC,10.82,False,2022 94th Clyde Littlefield Texas Relays,2022-03-23
100 Meters,f,2,"Alfred, Julien",SO-2,Texas,10.83,True,Big 12 Championships,2022-05-13
100 Meters,f,2,"Baylark, Jada",SR-4,Arkansas,10.83,False,2022 94th Clyde Littlefield Texas Relays,2022-03-23
100 Meters,f,4,"Davis, Kevona",SO-2,Texas,10.86,True,Big 12 Championships,2022-05-13
100 Meters,f,5,"Jefferson, Melissa",SO-2,Coastal Carolina,10.88,False,Sun Belt Outdoor Championships,2022-05-12
200 Meters,m,1,"Harris, Micaiah",SR-4,Texas,19.79,True,Big 12 Championships,2022-05-13
200 Meters,m,2,"Lindsey, Courtney",JR-3,Texas Tech,19.88,True,Big 12 Championships,2022-05-13
200 Meters,m,3,"Boling, Matthew",SO-2,Georgia,19.92,False,Georgia Tech Invitational,2022-04-22
200 Meters,m,3,"Fahnbulleh, Joseph",SO-2,Florida,19.92,False,LSU Invitational,2022-04-30
200 Meters,m,5,"Camel, Dorian",JR-3,LSU,20.00,False,LSU Invitational,2022-04-30
200 Meters,f,1,"Ofili, Favour",SO-2,LSU,21.96,False,UF Tom Jones Memorial,2022-04-15
200 Meters,f,2,"Steiner, Abby",JR-3,Kentucky,22.05,False,2022 Kentucky Track & Field Invitational,2022-04-22
200 Meters,f,3,"Flannel, Kynnedy",JR-3,Texas,22.30,True,Big 12 Championships,2022-05-13
200 Meters,f,4,"Davis, Kevona",SO-2,Texas,22.33,True,Big 12 Championships,2022-05-13
200 Meters,f,5,"Chukwuma, Rosemary",SO-2,Texas Tech,22.40,True,Big 12 Championships,2022-05-13
400 Meters,m,1,"Jones, Jonathan",JR-3,Texas,44.54,True,Big 12 Championships,2022-05-13
400 Meters,m,2,"Ross, Randolph",JR-3,N. Carolina A&T,44.61,False,Big South Outdoor Championships,2022-05-09
400 Meters,m,3,"Allison, Champion",JR-3,Florida,44.74,False,SEC Outdoor Track & Field Championships,2022-05-12
400 Meters,m,3,"Mckiver, Jenoah",SO-2,Iowa,44.74,False,2022 Jim Click Shootout,2022-04-08
400 Meters,m,5,"Godwin, Elija",JR-3,Georgia,44.81,False,SEC Outdoor Track & Field Championships,2022-05-12
400 Meters,f,1,"Young, Charokee",SO-2,Texas A&M,49.87,False,UF Tom Jones Memorial,2022-04-15
400 Meters,f,2,"Wilson, Britton",SO-2,Arkansas,50.05,False,SEC Outdoor Track & Field Championships,2022-05-12
400 Meters,f,3,"Williams , Stacey Ann",JR-3,Texas,50.32,True,Big 12 Championships,2022-05-13
400 Meters,f,4,"Simon, Kennedy",JR-3,Texas,50.68,False,Texas A&M v Texas Dual,2022-04-02
400 Meters,f,5,"Holmes, Alexis",JR-3,Kentucky,50.74,False,SEC Outdoor Track & Field Championships,2022-05-12
800 Meters,m,1,"Zahafi, Moad",SR-4,Texas Tech,1:43.69,False,UF Tom Jones Memorial,2022-04-15
800 Meters,m,2,"Jones, Jonathan",JR-3,Texas,1:45.83,False,2022 94th Clyde Littlefield Texas Relays,2022-03-23
800 Meters,m,3,"Anderson, Navasky",JR-3,Miss State,1:45.89,False,SEC Outdoor Track & Field Championships,2022-05-12
800 Meters,m,4,"Whitmarsh, Sam",FR-1,Texas A&M,1:46.09,False,SEC Outdoor Track & Field Championships,2022-05-12
800 Meters,m,5,"Rivera, John",SR-4,Ole Miss,1:46.42,False,UF Tom Jones Memorial,2022-04-15
800 Meters,f,1,"McDonald, Katy-Ann",JR-3,LSU,2:00.98,False,Bryan Clay Invitational,2022-04-13
800 Meters,f,1,"Hendrick, Sarah",JR-3,Kennesaw State,2:00.98,False,Kennesaw State Invitational,2022-04-15
800 Meters,f,3,"Vissa, Sintayehu",SO-2,Ole Miss,2:01.06,False,UF Tom Jones Memorial,2022-04-15
800 Meters,f,4,"Barrett, Imogen",JR-3,Florida,2:01.42,False,SEC Outdoor Track & Field Championships,2022-05-12
800 Meters,f,5,"Ellsworth, Lauren",SR-4,BYU,2:01.72,False,Bryan Clay Invitational,2022-04-13
1500 Meters,m,1,"Kipsang, Eliud",SO-2,Alabama,3:33.74,False,Bryan Clay Invitational,2022-04-13
1500 Meters,m,2,"Nur, Abdihamid",JR-3,Northern Arizona,3:36.33,False,Bryan Clay Invitational,2022-04-13
1500 Meters,m,3,"Brown, Reed",SR-4,Oregon,3:36.44,False,Oregon Relays (College/Pro/Una),2022-04-22
1500 Meters,m,4,"Davis, Jonathan",SR-4,Illinois,3:36.85,False,Bryan Clay Invitational,2022-04-13
1500 Meters,m,5,"Garcia Romo, Mario",JR-3,Ole Miss,3:36.91,False,SEC Outdoor Track & Field Championships,2022-05-12
1500 Meters,f,1,"Tuohy, Katelyn",SO-2,NC State,4:06.84,False,ACC Outdoor Track & Field Championships,2022-05-12
