event,gender,place,athlete,year,team,result,converted,meet,meet_date
100 Meters,m,1,"Christon, Kenan",FR-1,USC,10.39,False,Beach Opener,2020-03-07
100 Meters,m,2,"Da Silva, Earvin",JR-3,USC,10.48,False,Beach Opener,2020-03-07
100 Meters,m,3,"Hull, Michael",JR-3,Long Beach St.,10.62,False,Beach Opener,2020-03-07
100 Meters,m,4,"Robinson, Bralon",JR-3,Alcorn State,10.64,False,"2020 Jet Relays (University/College, Open))",2020-03-07
100 Meters,m,5,"Burns, Jake",FR-1,UC Irvine,10.69,False,Beach Opener,2020-03-07
100 Meters,f,1,"Okonkwo, Chioma",FR-1,USC,11.60,False,Beach Opener,2020-03-07
100 Meters,f,2,"Golden, Madison",SR-4,Long Beach St.,11.98,False,Beach Opener,2020-03-07
100 Meters,f,3,"Lesure, Mariah",SR-4,CSU Bakersfield,12.08,False,Beach Opener,2020-03-07
100 Meters,f,4,"Allian, Deja",FR-1,Cal St. Fullerton,12.13,False,RCC Invitational,2020-03-06
100 Meters,f,5,"Beckaroo, Yasheika",SR-4,Army West Point,12.15,False,Beach Opener,2020-03-07
200 Meters,m,1,"Shinnick, Zach",JR-3,USC,20.78,False,Beach Opener,2020-03-07
200 Meters,m,2,"Barnum, Alexander",SR-4,USC,21.30,False,Beach Opener,2020-03-07
200 Meters,m,3,"Redmond, Jon",SO-2,Army West Point,21.58,False,Beach Opener,2020-03-07
200 Meters,m,4,"Smith, Jason",SR-4,Long Beach St.,21.59,False,Beach Opener,2020-03-07
200 Meters,m,5,"Moore, Nick",JR-3,USC,21.63,False,Beach Opener,2020-03-07
200 Meters,m,5,"Borquez, Brayden",FR-1,USC,21.63,False,Beach Opener,2020-03-07
200 Meters,f,1,"Griffin, LeNaya",SR-4,Long Beach St.,24.71,False,Beach Opener,2020-03-07
200 Meters,f,2,"Daye, Chelsea",SO-2,UC Davis,24.74,False,2020 Cal Opener,2020-03-07
200 Meters,f,3,"Tugade, Regine",,Navy,24.92,False,2020 San Diego Collegiate Challenge,2020-03-07
200 Meters,f,4,"Steinmeyer, Lucy",JR-3,North Dakota,24.94,False,Coastal Carolina Invitational,2020-03-13
200 Meters,f,5,"Tolento, Natalie",FR-1,Long Beach St.,24.99,False,Beach Opener,2020-03-07
400 Meters,m,1,"Hughey, Eric",,Navy,47.81,False,2020 San Diego Collegiate Challenge,2020-03-07
400 Meters,m,2,"Samuel, Cameron",JR-3,USC,48.19,False,Beach Opener,2020-03-07
400 Meters,m,3,"Finnegan, John",,Navy,48.44,False,2020 San Diego Collegiate Challenge,2020-03-07
