event,gender,place,athlete,year,team,result,converted,meet,meet_date
100 Meters,m,1,"McCallum, T'Mars",FR-1,Tennessee,9.94,False,USC Outdoor Open,2024-04-20
100 Meters,m,2,"Abdul-Rasheed, Saminu",SO-2,South Florida,9.95,False,South Florida Invitational,2024-04-05
100 Meters,m,3,"Ashe, Favour",JR-3,Auburn,9.96,False,2024 Tiger Track Classic,2024-04-20
100 Meters,m,4,"Oghenebrume, Godson",JR-3,LSU,9.99,False,SEC Outdoor Track & Field Championships,2024-05-09
100 Meters,m,5,"Augustine, Devin",JR-3,Minnesota,10.02,False,LSU Alumni Gold,2024-04-20
100 Meters,m,5,"Maswanganyi, Shaun",SR-4,Houston,10.02,False,2024 96th Clyde Littlefield Texas Relays,2024-03-27
100 Meters,m,5,"McCoy, Wanya",JR-3,Florida,10.02,False,SEC Outdoor Track & Field Championships,2024-05-09
100 Meters,f,1,"Sears, Jacious",SR-4,Tennessee,10.77,False,Tom Jones Memorial Invitational,2024-04-12
100 Meters,f,2,"Lyston, Brianna",SO-2,LSU,10.84,False,LSU Alumni Gold,2024-04-20
100 Meters,f,3,"Defrand, Dajaz",SO-2,Florida State,10.88,False,LSU Invitational,2024-04-27
100 Meters,f,4,"Long, McKenzie",SR-4,Ole Miss,10.89,False,LSU Battle on the Bayou,2024-03-29
100 Meters,f,5,"Davies, Thelma",SR-4,LSU,10.92,False,LSU Invitational,2024-04-27
200 Meters,m,1,"Orogot, Tarsis",JR-3,Alabama,19.75,False,SEC Outdoor Track & Field Championships,2024-05-09
200 Meters,m,2,"McCoy, Wanya",JR-3,Florida,19.93,False,SEC Outdoor Track & Field Championships,2024-05-09
200 Meters,m,3,"Miller, Cameron",SO-2,Purdue,19.97,False,Big Ten Outdoor Championships,2024-05-10
200 Meters,m,4,"Charamba, Makanakaishe",JR-3,Auburn,20.00,False,SEC Outdoor Track & Field Championships,2024-05-09
200 Meters,m,5,"Lang, Lance",SR-4,Arkansas,20.04,False,SEC Outdoor Track & Field Championships,2024-05-09
200 Meters,f,1,"Long, McKenzie",SR-4,Ole Miss,22.03,False,SEC Outdoor Track & Field Championships,2024-05-09
200 Meters,f,2,"Ford, JaMeesia",FR-1,South Carolina,22.11,False,SEC Outdoor Track & Field Championships,2024-05-09
200 Meters,f,3,"Davies, Thelma",SR-4,LSU,22.17,False,SEC Outdoor Track & Field Championships,2024-05-09
200 Meters,f,4,"Lyston, Brianna",SO-2,LSU,22.31,False,SEC Outdoor Track & Field Championships,2024-05-09
200 Meters,f,5,"Jackson, Kaila",SO-2,Georgia,22.38,False,SEC Outdoor Track & Field Championships,2024-05-09
400 Meters,m,1,"Morales Williams, Christopher",SO-2,Georgia,44.05,False,SEC Outdoor Track & Field Championships,2024-05-09
400 Meters,m,2,"Ogazi, Samuel",FR-1,Alabama,44.58,False,SEC Outdoor Track & Field Championships,2024-05-09
400 Meters,m,3,"Lincoln IV, Judson",SO-2,Virginia Tech,44.60,False,ACC Outdoor Track & Field Championships,2024-05-09
400 Meters,m,4,"Blockburger, Johnnie",SR-4,USC,44.62,True,PAC-12 Track and Field Championships,2024-05-10
400 Meters,m,5,"McRae, Khaleb",SR-4,Alabama,44.68,False,SEC Outdoor Track & Field Championships,2024-05-09
400 Meters,f,1,"Pryce, Nickisha",SR-4,Arkansas,49.32,False,SEC Outdoor Track & Field Championships,2024-05-09
400 Meters,f,2,"Brown, Kaylyn",FR-1,Arkansas,49.47,False,SEC Outdoor Track & Field Championships,2024-05-09
400 Meters,f,3,"Anning, Amber",SR-4,Arkansas,49.51,False,SEC Outdoor Track & Field Championships,2024-05-09
400 Meters,f,4,"Butler, Aaliyah",SO-2,Georgia,49.79,False,SEC Outdoor Track & Field Championships,2024-05-09
400 Meters,f,5,"Onojuvwevwo, Ella",SO-2,LSU,50.57,False,SEC Outdoor Track & Field Championships,2024-05-09
800 Meters,m,1,"Whitmarsh, Sam",JR-3,Texas A&M,1:44.46,False,LSU Battle on the Bayou,2024-03-29
800 Meters,m,2,"Sahlman, Colin",SO-2,Northern Arizona,1:45.63,False,Desert Heat Classic 2024,2024-04-27
800 Meters,m,3,"Kipyego, Darius",JR-3,Iowa State,1:45.76,False,Hurricane Alumni Invitational,2024-04-05
800 Meters,m,3,"Reid, Tyrese",SR-4,Miss State,1:45.76,False,LSU Battle on the Bayou,2024-03-29
800 Meters,m,5,"Dolan, Sean",SR-4,Villanova,1:45.83,False,BIG EAST Outdoor Track & Field Championships,2024-05-09
800 Meters,f,1,"Rose, Michaela",JR-3,LSU,1:58.37,False,2024 Bryan Clay Invitational,2024-04-11
800 Meters,f,2,"Jallow, Sanu",SO-2,Arkansas,1:59.29,False,SEC Outdoor Track & Field Championships,2024-05-09
