event,gender,place,athlete,year,team,result,converted,meet,meet_date
100 Meters,m,1,"Ernest, Aaron",SO-2,LSU,10.04,False,SEC Outdoor Track & Field Championships,2013-05-09
100 Meters,m,2,"Young, Isiah",SR-4,Mississippi,10.05,False,SEC Outdoor Track & Field Championships,2013-05-09
100 Meters,m,3,"Batson, Diondre",JR-3,Alabama,10.06,False,Georgia Spec Towns National Team Invitational,2013-04-12
100 Meters,m,4,"Brown, Aaron",JR-3,USC,10.07,False,Pac-12 Track & Field Championships,2013-05-04
100 Meters,m,4,"Lee, Beejay",SO-2,USC,10.07,False,Pac-12 Track & Field Championships,2013-05-04
100 Meters,f,1,"Gardner, English",JR-3,Oregon,11.00,False,55th Mt. SAC Relays,2013-04-18
100 Meters,f,2,"Freeman, Octavious",SO-2,UCF,11.02,False,Florida Relays (College/Open),2013-04-04
100 Meters,f,3,"Duncan, Kimberlyn",SR-4,LSU,11.06,False,2013 Clyde Littlefield Texas Relays,2013-03-27
100 Meters,f,4,"White, Cierra",SO-2,Texas Tech,11.12,True,UTEP Springtime 2013,2013-03-23
100 Meters,f,5,"Collier, Ashley",JR-3,Texas A&M,11.15,False,2013 Clyde Littlefield Texas Relays,2013-03-27
200 Meters,m,1,"Young, Isiah",SR-4,Mississippi,20.20,False,SEC Outdoor Track & Field Championships,2013-05-09
200 Meters,m,2,"Nellum, Bryshon",SR-4,USC,20.23,False,Pac-12 Track & Field Championships,2013-05-04
200 Meters,m,3,"Webb, Ameer",SR-4,Texas A&M,20.30,False,SEC Outdoor Track & Field Championships,2013-05-09
200 Meters,m,4,"Nkanata, Carvin",JR-3,Pittsburgh,20.32,False,IC4A/ECAC DI Outdoor Track & Field Championships,2013-05-10
200 Meters,m,5,"Silmon, Charles",SR-4,TCU,20.33,False,Big 12 Outdoor Track & Field Championships,2013-05-03
200 Meters,f,1,"Duncan, Kimberlyn",SR-4,LSU,22.35,False,SEC Outdoor Track & Field Championships,2013-05-09
200 Meters,f,2,"Miller, Shaunae",FR-1,Georgia,22.41,False,Georgia Spec Towns National Team Invitational,2013-04-12
200 Meters,f,3,"Brown, Kamaria",SO-2,Texas A&M,22.47,False,LSU Alumni Gold,2013-04-20
200 Meters,f,4,"Freeman, Octavious",SO-2,UCF,22.57,False,Miami Hurricane Alumni Invitational,2013-04-13
200 Meters,f,5,"Gardner, English",JR-3,Oregon,22.62,False,Pac-12 Track & Field Championships,2013-05-04
400 Meters,m,1,"Nellum, Bryshon",SR-4,USC,44.76,False,Pac-12 Track & Field Championships,2013-05-04
400 Meters,m,2,"Lendore, Deon",SO-2,Texas A&M,45.00,False,LSU Alumni Gold,2013-04-20
400 Meters,m,3,"Clemons, Kyle",SR-4,Kansas,45.10,False,Big 12 Outdoor Track & Field Championships,2013-05-03
400 Meters,m,4,"Berry, Mike",JR-3,Oregon,45.14,False,Pac-12 Track & Field Championships,2013-05-04
400 Meters,m,5,"Harris, James",JR-3,Florida State,45.25,False,ACC Outdoor Track & Field Championships,2013-04-18
400 Meters,f,1,"Francis, Phyllis",JR-3,Oregon,51.57,False,Pac-12 Track & Field Championships,2013-05-04
400 Meters,f,2,"Dixon, Diamond",JR-3,Kansas,51.73,False,Big 12 Outdoor Track & Field Championships,2013-05-03
400 Meters,f,3,"George, Regina",SR-4,Arkansas,51.74,False,SEC Outdoor Track & Field Championships,2013-05-09
400 Meters,f,4,"Sealy, Sade",SR-4,Illinois State,52.01,False,2013 State Farm MVC Outdoor Track & Field Championships,2013-05-10
400 Meters,f,5,"Brown, Kamaria",SO-2,Texas A&M,52.10,False,SEC Outdoor Track & Field Championships,2013-05-09
800 Meters,m,1,"Greer, Elijah",SR-4,Oregon,1:46.20,False,Oregon vs Arkansas Dual,2013-04-19
