event,gender,place,athlete,year,team,result,converted,meet,meet_date
60 Meters,m,1,"Jones, Terrence",SO-2,Texas Tech,6.48,True,Big 12 Indoor Championships,2023-02-24
60 Meters,m,2,"Williams, Micah",SO-2,Oregon,6.51,True,Texas Tech Open,2023-01-26
60 Meters,m,2,"Kone, Ismael",SR-4,Florida State,6.51,False,Clemson Invite,2023-01-13
60 Meters,m,4,"Ashe, Favour",SO-2,Auburn,6.52,False,2023 SEC Indoor Track & Field Championships,2023-02-23
60 Meters,m,5,"Johnson, Lawrence",SR-4,Wisconsin,6.54,False,Wisconsin Badger's Windy City Invite II,2023-02-10
60 Meters,f,1,"Alfred, Julien",SR-4,Texas,6.99,True,Big 12 Indoor Championships,2023-02-24
60 Meters,f,2,"Moody, Samirah",SO-2,USC,7.07,False,2023 Ken Shannon Invitational,2023-02-24
60 Meters,f,3,"Sears, Jacious",JR-3,Tennessee,7.11,False,2023 SEC Indoor Track & Field Championships,2023-02-23
60 Meters,f,3,"Chukwuma, Rosemary",JR-3,Texas Tech,7.11,True,Texas Tech Open,2023-01-26
60 Meters,f,3,"Grant, Kiara",SR-4,Clemson,7.11,True,TTU Red Raider Open,2023-01-20
200 Meters,m,1,"Lindsey, Courtney",SR-4,Texas Tech,20.20,True,Big 12 Indoor Championships,2023-02-24
200 Meters,m,2,"Miller, Cameron",JR-3,Louisville,20.27,False,ACC Indoor Track & Field Championships,2023-02-23
200 Meters,m,2,"Orogot, Tarsis",SO-2,Alabama,20.27,True,Don Kirby Elite Invitational,2023-02-10
200 Meters,m,4,"Patterson, Jacory",SR-4,Florida,20.29,False,2023 SEC Indoor Track & Field Championships,2023-02-23
200 Meters,m,5,"Boling, Matthew",SR-4,Georgia,20.44,False,2023 SEC Indoor Track & Field Championships,2023-02-23
200 Meters,f,1,"Alfred, Julien",SR-4,Texas,22.33,True,Big 12 Indoor Championships,2023-02-24
200 Meters,f,2,"Ofili, Favour",JR-3,LSU,22.36,False,Tyson Invitational,2023-02-10
200 Meters,f,3,"Adeleke, Rhasidat",SO-2,Texas,22.59,True,Dr. Martin Luther King Jr. Collegiate Invitational,2023-01-21
200 Meters,f,4,"Diggs, Talitha",SO-2,Florida,22.61,False,Tyson Invitational,2023-02-10
200 Meters,f,5,"Long, McKenzie",SR-4,Ole Miss,22.67,False,2023 SEC Indoor Track & Field Championships,2023-02-23
400 Meters,m,1,"Godwin, Elija",SR-4,Georgia,44.75,False,2023 SEC Indoor Track & Field Championships,2023-02-23
400 Meters,m,2,"Patterson, Jacory",SR-4,Florida,45.05,False,2023 SEC Indoor Track & Field Championships,2023-02-23
400 Meters,m,3,"Bailey, Christopher",SR-4,Arkansas,45.09,False,Razorback Invitational,2023-01-27
400 Meters,m,4,"Willie, Ryan",JR-3,Florida,45.15,False,2023 SEC Indoor Track & Field Championships,2023-02-23
400 Meters,m,5,"Robinson , Justin",SO-2,Arizona State,45.51,True,USATF Indoor Championships,2023-02-16
400 Meters,f,1,"Diggs, Talitha",SO-2,Florida,50.15,False,2023 SEC Indoor Track & Field Championships,2023-02-23
400 Meters,f,2,"Adeleke, Rhasidat",SO-2,Texas,50.44,True,Big 12 Indoor Championships,2023-02-24
400 Meters,f,3,"Anning, Amber",JR-3,Arkansas,50.68,False,2023 SEC Indoor Track & Field Championships,2023-02-23
400 Meters,f,4,"Effiong , Rosey",JR-3,Arkansas,51.02,False,Tyson Invitational,2023-02-10
400 Meters,f,5,"Simon, Kennedy",SR-4,Texas,51.12,True,Big 12 Indoor Championships,2023-02-24
800 Meters,m,1,"Bizimana, Yusuf",SO-2,Texas,1:46.03,True,New Mexico Collegiate Classic,2023-02-03
800 Meters,m,2,"Austin, Sam",SO-2,Florida,1:46.06,False,Tyson Invitational,2023-02-10
800 Meters,m,3,"Carrozza, Crayton",JR-3,Texas,1:46.28,False,2023 Boston University John Thomas Terrier Classic,2023-01-27
800 Meters,m,4,"Gomez, Jason",SR-4,Iowa State,1:46.53,False,Tyson Invitational,2023-02-10
800 Meters,m,5,"Anderson, Navasky",SR-4,Miss State,1:46.58,False,Music City Challenge,2023-02-10
800 Meters,f,1,"Willis, Roisin",FR-1,Stanford,1:59.95,False,Wisconsin Badger's Windy City Invite II,2023-02-10
800 Meters,f,2,"Rose, Michaela",SO-2,LSU,2:00.18,False,2023 Boston University David Hemery Valentine Invite,2023-02-10
800 Meters,f,3,"Whittaker, Juliette",FR-1,Stanford,2:00.32,False,Wisconsin Badger's Windy City Invite II,2023-02-10
800 Meters,f,4,"Barrett, Imogen",SR-4,Florida,2:01.23,False,2023 Boston University David Hemery Valentine Invite,2023-02-10
800 Meters,f,5,"Hendrick, Sarah",SR-4,Kennesaw State,2:02.00,False,Boston University Scarlet and White Invite,2023-02-04
Mile,m,1,"Essayi, Anass",SO-2,South Carolina,3:50.46,False,2023 Boston University David Hemery Valentine Invite,2023-02-10
Mile,m,2,"Waskom, Joe",SO-2,Washington,3:51.90,False,2023 UW Invite,2023-01-27
Mile,m,3,"Fay, Brian",SR-4,Washington,3:52.03,False,2023 UW Invite,2023-01-27
Mile,m,4,"Lumb, Kieran",SR-4,Washington,3:52.62,False,Last Chance Indoor National Qualifier at BU,2023-02-26
Mile,m,5,"Green, Nathan",FR-1,Washington,3:52.76,False,2023 UW Invite,2023-01-27
Mile,f,1,"Tuohy, Katelyn",SO-2,NC State,4:24.26,False,Dr. Sander Invitational Columbia Challenge,2023-01-27
