event,gender,place,athlete,year,team,result,converted,meet,meet_date
100 Meters,m,1,"Jones, Terrence",JR-3,Texas Tech,9.91,False,UF Tom Jones Memorial,2023-04-14
100 Meters,m,2,"Smith, J.T",SR-4,TAMU-Commerce,9.92,False,2023 Southland Conference Outdoor T&F Championship,2023-05-04
100 Meters,m,3,"Maswanganyi, Shaun",JR-3,Houston,9.96,False,The American Outdoor Track & Field Championships,2023-05-12
100 Meters,m,4,"Oghenebrume, Godson",SO-2,LSU,9.97,False,LSU Alumni Gold,2023-04-22
100 Meters,m,5,"Kone, Ismael",SR-4,Florida State,9.98,False,Texas Invitational,2023-04-28
100 Meters,f,1,"Alfred, Julien",JR-3,Texas,10.72,False,UF Tom Jones Memorial,2023-04-14
100 Meters,f,2,"Long, McKenzie",SR-4,Ole Miss,10.80,False,2023 95th Clyde Littlefield Texas Relays,2023-03-29
100 Meters,f,3,"Chukwuma, Rosemary",JR-3,Texas Tech,10.85,False,UF Tom Jones Memorial,2023-04-14
100 Meters,f,4,"Davis, Kevona",JR-3,Texas,10.93,False,UF Tom Jones Memorial,2023-04-14
100 Meters,f,4,"Abba, Ezinne",SR-4,Texas,10.93,False,Big 12 Outdoor Track & Field Championships,2023-05-12
200 Meters,m,1,"Orogot, Tarsis",SO-2,Alabama,19.60,False,UF Tom Jones Memorial,2023-04-14
200 Meters,m,2,"Gregory, Robert",SO-2,Florida,19.78,False,UF Tom Jones Memorial,2023-04-14
200 Meters,m,3,"Onwuzurike, Udodi",SO-2,Stanford,19.91,False,Pac-12 Track & Field Championships,2023-05-12
200 Meters,m,4,"Miller, Cameron",SO-2,Louisville,19.93,False,UF Tom Jones Memorial,2023-04-14
200 Meters,m,5,"Maswanganyi, Shaun",JR-3,Houston,19.99,False,The American Outdoor Track & Field Championships,2023-05-12
200 Meters,f,1,"Alfred, Julien",JR-3,Texas,21.91,False,UF Tom Jones Memorial,2023-04-14
200 Meters,f,2,"Smith, Latasha",JR-3,UCF,22.09,False,The American Outdoor Track & Field Championships,2023-05-12
200 Meters,f,3,"Thomas, Lanae",SR-4,Texas,22.30,False,UF Tom Jones Memorial,2023-04-14
200 Meters,f,4,"Long, McKenzie",SR-4,Ole Miss,22.31,False,UF Tom Jones Memorial,2023-04-14
200 Meters,f,5,"Adeleke, Rhasidat",JR-3,Texas,22.34,False,UF Tom Jones Memorial,2023-04-14
400 Meters,m,1,"Willie, Ryan",JR-3,Florida,44.27,False,SEC Outdoor Track & Field Championships,2023-05-11
400 Meters,m,2,"Godwin, Elija",SR-4,Georgia,44.55,False,SEC Outdoor Track & Field Championships,2023-05-11
400 Meters,m,3,"Bynum, Emmanuel",JR-3,Tennessee,44.58,False,SEC Outdoor Track & Field Championships,2023-05-11
400 Meters,m,4,"Brown, Zarik",JR-3,Oklahoma,44.61,False,Big 12 Outdoor Track & Field Championships,2023-05-12
400 Meters,m,5,"Jones, William",FR-1,USC,44.65,False,Pac-12 Track & Field Championships,2023-05-12
400 Meters,f,1,"Wilson, Britton",JR-3,Arkansas,49.13,False,SEC Outdoor Track & Field Championships,2023-05-11
400 Meters,f,2,"Adeleke, Rhasidat",JR-3,Texas,49.90,False,UF Tom Jones Memorial,2023-04-14
400 Meters,f,3,"Jones, Jan'Taijah",JR-3,USC,50.44,False,Pac-12 Track & Field Championships,2023-05-12
400 Meters,f,4,"Robinson-Jones, Tierra",SR-4,Texas A&M,50.54,False,SEC Outdoor Track & Field Championships,2023-05-11
400 Meters,f,5,"Arnold, Jermaisha",SO-2,Texas A&M,50.71,False,Pepsi Florida Relays,2023-03-31
800 Meters,m,1,"Bizimana, Yusuf",JR-3,Texas,1:45.82,False,Big 12 Outdoor Track & Field Championships,2023-05-12
