event,gender,place,athlete,year,team,result,converted,meet,meet_date
60 Meters,m,1,"Holloway, Grant",JR-3,Florida,6.51,False,Razorback Invitational,2019-01-25
60 Meters,m,2,"Charleston, Cravont",JR-3,North Carolina St.,6.54,False,Clemson Tiger Paw Invitational,2019-02-08
60 Meters,m,2,"Oduduru, Divine",JR-3,Texas Tech,6.54,True,Big 12 Championships,2019-02-22
60 Meters,m,4,"Wells, Emmanuel",JR-3,Washington St.,6.55,True,Don Kirby Elite Invitational,2019-02-08
60 Meters,m,5,"James, Kasaun",JR-3,Florida State,6.57,False,Clemson Orange & Purple Elite,2019-01-11
60 Meters,f,1,"Johnson, Kortnei",SR-4,LSU,7.14,False,LSU Twilight,2019-02-15
60 Meters,f,2,"Parker, Kiara",SR-4,Arkansas,7.15,False,Razorback Invitational,2019-01-25
60 Meters,f,3,"Smith-Barnett, Destiny",SR-4,UNLV,7.17,True,Mountain West Indoor Track & Field Championships,2019-02-21
60 Meters,f,3,"Terry, Twanisha",SO-2,USC,7.17,True,Texas Tech Classic,2019-01-24
60 Meters,f,5,"Richardson, Sha'Carri",FR-1,LSU,7.20,False,Razorback Invitational,2019-01-25
60 Meters,f,5,"Sant, MaryBeth",SR-4,Colorado St.,7.20,True,Potts Invitational,2019-01-11
200 Meters,m,1,"Oduduru, Divine",JR-3,Texas Tech,20.15,True,Big 12 Championships,2019-02-22
200 Meters,m,2,"Hudson, Andrew",SR-4,Texas Tech,20.40,True,Big 12 Championships,2019-02-22
200 Meters,m,3,"Gray, Nick",SR-4,Ohio State,20.48,False,Big Ten Indoor Track and Field Championships,2019-02-22
200 Meters,m,4,"Flournoy, Jaron",SR-4,LSU,20.55,False,SEC Indoor Championships,2019-02-22
200 Meters,m,5,"James, Kasaun",JR-3,Florida State,20.56,True,Texas Tech Classic,2019-01-24
200 Meters,f,1,"Battle, Anavia",SO-2,Ohio State,22.80,False,Big Ten Indoor Track and Field Championships,2019-02-22
200 Meters,f,2,"White, Kayla",SR-4,N. Carolina A&T,22.82,False,Tyson Invitational,2019-02-08
200 Meters,f,3,"Flannel, Kennedy",FR-1,Texas,22.88,False,Clemson Invitational,2019-01-18
