event,gender,place,athlete,year,team,result,converted,meet,meet_date
100 Meters,m,1,"Anthony, Jordan",SO-2,Arkansas,9.75,False,NCAA Division I West First Round,2025-05-28
100 Meters,m,2,"Saminu, Abdul-Rasheed",SR-4,South Florida,9.86,False,NCAA Division I East First Round,2025-05-28
100 Meters,m,3,"Okon, Israel",FR-1,Auburn,9.91,False,LSU Invitational,2025-05-03
100 Meters,m,3,"Banks, Taylor",SR-4,USC,9.91,False,NCAA Division I West First Round,2025-05-28
100 Meters,m,5,"Thomas, Max",JR-3,USC,9.92,False,2025 Texas A&M 44 Farms Team Invitational,2025-04-11
100 Meters,f,1,"Mayberry, Indya",FR-1,TCU,10.91,False,2025 97th Clyde Littlefield Texas Relays,2025-03-26
100 Meters,f,1,"Godbless, Tima",SO-2,LSU,10.91,False,NCAA Division I East First Round,2025-05-28
100 Meters,f,3,"Bertrand, Leah",SR-4,Ohio State,10.92,False,NCAA Division I East First Round,2025-05-28
100 Meters,f,4,"Walker, Shenese",JR-3,Florida State,10.98,False,NCAA Division I East First Round,2025-05-28
100 Meters,f,5,"Defrand, Dajaz",JR-3,USC,11.00,False,NCAA Division I West First Round,2025-05-28
100 Meters,f,5,"Ford, JaMeesia",SO-2,South Carolina,11.00,False,NCAA Division I East First Round,2025-05-28
100 Meters,f,5,"Jackson, Kaila",JR-3,Georgia,11.00,False,NCAA Division I East First Round,2025-05-28
200 Meters,m,1,"Charamba, Makanakaishe",SR-4,Auburn,19.79,False,NCAA Division I East First Round,2025-05-28
200 Meters,m,2,"McCallum, T'Mars",JR-3,Tennessee,19.83,False,NCAA Division I East First Round,2025-05-28
200 Meters,m,3,"Kaalund, Garrett",JR-3,USC,19.85,False,NCAA Division I West First Round,2025-05-28
200 Meters,m,4,"Makarawu, Carli",JR-3,Kentucky,19.92,False,NCAA Division I East First Round,2025-05-28
200 Meters,m,5,"Anthony, Jordan",SO-2,Arkansas,19.93,False,SEC Outdoor Track & Field Championships,2025-05-15
200 Meters,f,1,"Ford, JaMeesia",SO-2,South Carolina,22.01,False,SEC Outdoor Track & Field Championships,2025-05-15
200 Meters,f,2,"Whyte, Madison",SO-2,USC,22.16,False,NCAA Division I West First Round,2025-05-28
200 Meters,f,3,"Montgomery, Jasmine",JR-3,Texas A&M,22.17,False,2025 Texas A&M Alumni Muster Invitational,2025-05-03
200 Meters,f,4,"Mayberry, Indya",FR-1,TCU,22.30,False,NCAA Division I West First Round,2025-05-28
200 Meters,f,5,"Defrand, Dajaz",JR-3,USC,22.33,False,NCAA Division I West First Round,2025-05-28
400 Meters,m,1,"Danzy, Micahi",FR-1,Florida State,44.38,False,ACC Outdoor Track & Field Championships,2025-05-15
400 Meters,m,2,"Ogazi, Samuel",SO-2,Alabama,44.43,False,NCAA Division I East First Round,2025-05-28
400 Meters,m,3,"Robinson, Auhmad",SR-4,Texas A&M,44.61,False,Florida Relays,2025-04-04
400 Meters,m,4,"Kaalund, Garrett",JR-3,USC,44.73,False,USC vs UCLA,2025-05-04
400 Meters,m,5,"Ezekiel, Nathaniel",SR-4,Baylor,44.75,False,UCF Knights Invite,2025-04-25
400 Meters,f,1,"Butler, Aaliyah",JR-3,Georgia,49.44,False,Tom Jones Invitational,2025-04-18
400 Meters,f,2,"Maisvorewa, Vimbayi",SR-4,Auburn,50.25,False,Tom Jones Invitational,2025-04-18
400 Meters,f,3,"Brown, Kaylyn",SO-2,Arkansas,50.35,False,LSU Invitational,2025-05-03
400 Meters,f,3,"Oakley, Dejanea",JR-3,Georgia,50.35,False,Tom Jones Invitational,2025-04-18
400 Meters,f,5,"Ford, JaMeesia",SO-2,South Carolina,50.43,False,Florida Relays,2025-04-04
800 Meters,m,1,"Jackson, Christian",JR-3,Virginia Tech,1:44.83,False,ACC Outdoor Track & Field Championships,2025-05-15
800 Meters,m,2,"Matsatsa, Tinoda",SO-2,Georgetown,1:45.04,False,Florida Relays,2025-04-04
800 Meters,m,3,"Kweyei, Brian",SO-2,Clemson,1:45.09,False,ACC Outdoor Track & Field Championships,2025-05-15
800 Meters,m,4,"Roban, Handal",JR-3,Penn State,1:45.16,False,Florida Relays,2025-04-04
800 Meters,m,5,"Whitmarsh, Sam",SR-4,Texas A&M,1:45.35,False,SEC Outdoor Track & Field Championships,2025-05-15
800 Meters,f,1,"Rose, Michaela",SR-4,LSU,1:58.12,False,LSU Invitational,2025-05-03
800 Meters,f,2,"Hunter, Meghan",SR-4,BYU,1:58.95,False,NCAA Division I West First Round,2025-05-28
800 Meters,f,3,"Kolbe, Smilla",SR-4,North Florida,1:59.02,False,East Coast Relays,2025-05-02
800 Meters,f,4,"Chepngetich, Gladys",SO-2,Clemson,1:59.47,False,NCAA Division I East First Round,2025-05-28
800 Meters,f,5,"Bossong, Victoria",SR-4,Harvard,1:59.48,False,Tom Jones Invitational,2025-04-18
1500 Meters,m,1,"Murphy, Liam",SR-4,Villanova,3:33.02,False,Raleigh Relays,2025-03-27
1500 Meters,m,2,"Strand, Ethan",JR-3,North Carolina,3:33.22,False,Duke Twilight,2025-05-04
1500 Meters,m,3,"Langon, Marco",JR-3,Villanova,3:33.38,False,Raleigh Relays,2025-03-27
1500 Meters,m,4,"Martin, Gary",JR-3,Virginia,3:33.71,False,Raleigh Relays,2025-03-27
1500 Meters,m,5,"Teffra, Abel",SR-4,Georgetown,3:33.84,False,Duke Twilight,2025-05-04
1500 Meters,f,1,"Flockhart, Shannon",SR-4,Providence,4:04.97,False,NCAA Division I East First Round,2025-05-28
1500 Meters,f,2,"El Arfaoui, Bahiya",SO-2,Eastern Kentucky,4:05.20,False,NCAA Division I East First Round,2025-05-28
1500 Meters,f,3,"Appleton, Margot",SR-4,Virginia,4:05.68,False,Raleigh Relays,2025-03-27
1500 Meters,f,3,"Jelelgo, Silvia",SO-2,Clemson,4:05.68,False,NCAA Division I East First Round,2025-05-28
1500 Meters,f,5,"Congdon, Maggi",SR-4,Northern Arizona,4:05.73,False,NCAA Division I West First Round,2025-05-28
5000 Meters,m,1,"Samuel, Habtom",SO-2,New Mexico,13:05.87,False,2025 Bryan Clay Invitational,2025-04-16
5000 Meters,m,2,"Kipkurui, Ishmael",FR-1,New Mexico,13:09.24,False,2025 Bryan Clay Invitational,2025-04-16
5000 Meters,m,3,"Soca, Valentin",JR-3,CBU,13:13.10,False,2025 Bryan Clay Invitational,2025-04-16
5000 Meters,m,4,"Wolfe, Parker",SR-4,North Carolina,13:13.49,False,ACC Outdoor Track & Field Championships,2025-05-15
5000 Meters,m,5,"Kurui, Evans",SO-2,Washington St.,13:16.01,False,2025 Bryan Clay Invitational,2025-04-16
5000 Meters,f,1,"Kosgei, Pamela",FR-1,New Mexico,14:52.45,False,2025 Bryan Clay Invitational,2025-04-16
5000 Meters,f,2,"Halladay-Lowry, Lexy",SR-4,BYU,14:52.93,False,2025 Bryan Clay Invitational,2025-04-16
5000 Meters,f,3,"Hartman, Grace",JR-3,NC State,14:58.11,False,Duke Twilight,2025-05-04
5000 Meters,f,4,"Olemomoi, Hilda",JR-3,Florida,15:04.65,False,2025 Bryan Clay Invitational,2025-04-16
5000 Meters,f,5,"Scrimgeour, Chloe",SR-4,Georgetown,15:05.40,False,2025 Bryan Clay Invitational,2025-04-16
"10,000 Meters",m,1,"Kurui, Evans",SO-2,Washington St.,27:37.32,False,Stanford Invitational,2025-04-04
"10,000 Meters",m,2,"Samuel, Habtom",SO-2,New Mexico,27:38.51,True,Don Kirby Tailwind Twilight,2025-04-25
"10,000 Meters",m,3,"Kipkurui, Ishmael",FR-1,New Mexico,27:43.66,True,Don Kirby Tailwind Twilight,2025-04-25
"10,000 Meters",m,4,"Schubert, Dylan",SR-4,Furman,27:45.63,False,2025 Bryan Clay Invitational,2025-04-16
"10,000 Meters",m,5,"Cheruiyot, Ernest",SO-2,Texas Tech,27:45.65,False,2025 Bryan Clay Invitational,2025-04-16
"10,000 Meters",f,1,"Kosgei, Pamela",FR-1,New Mexico,30:55.37,True,Don Kirby Tailwind Twilight,2025-04-25
"10,000 Meters",f,2,"Hartman, Grace",JR-3,NC State,31:20.60,False,Raleigh Relays,2025-03-27
"10,000 Meters",f,3,"Cherotich, Diana",FR-1,Oregon,31:45.22,False,Stanford Invitational,2025-04-04
"10,000 Meters",f,4,"Noe, Paityn",SO-2,Arkansas,31:59.22,False,Stanford Invitational,2025-04-04
"10,000 Meters",f,5,"Cherubet, Juliet",SO-2,Oregon,32:02.78,False,Stanford Invitational,2025-04-04
100 Hurdles,f,1,"Harris, Habiba",FR-1,Florida,12.62,False,SEC Outdoor Track & Field Championships,2025-05-15
