event,gender,place,athlete,year,team,result,converted,meet,meet_date
60 Meters,m,1,"Ewers, Andre",JR-3,Florida State,6.52,False,Larry Wieczorek Invitational,2018-01-19
60 Meters,m,2,"Brazil, Jeryl",SR-4,UL-Lafayette,6.55,False,LSU Bayou Bengal,2018-02-02
60 Meters,m,3,"Hall, Elijah",SR-4,Houston,6.58,False,Tyson Invitational,2018-02-09
60 Meters,m,4,"Cotton, Kenzo",SR-4,Arkansas,6.59,False,Tyson Invitational,2018-02-09
60 Meters,m,4,"Kemp, Demek",SR-4,South Carolina St.,6.59,False,Dunamis Super Meet,2018-02-08
60 Meters,f,1,"Brisco, Mikiah",SR-4,LSU,7.10,True,New Mexico Classic,2018-02-02
60 Meters,f,2,"Hobbs, Aleia",SR-4,LSU,7.12,False,Tyson Invitational,2018-02-09
60 Meters,f,3,"Smith, Jonielle",SR-4,Auburn,7.18,False,Tyson Invitational,2018-02-09
60 Meters,f,3,"Johnson, Kortnei",JR-3,LSU,7.18,False,Razorback Invitational,2018-01-26
60 Meters,f,5,"Whyte, Natalliah",FR-1,Auburn,7.19,False,Tyson Invitational,2018-02-09
200 Meters,m,1,"Oduduru, Divine",SO-2,Texas Tech,20.25,True,Texas Tech Open,2018-02-02
200 Meters,m,2,"Titi, Ncincilili",SR-4,South Carolina,20.45,False,Clemson Invitational,2018-01-19
200 Meters,m,2,"Gray, Nick",JR-3,Ohio State,20.45,False,Big Ten Indoor Track and Field Championships,2018-02-23
200 Meters,m,4,"Hudson, Andrew",JR-3,Texas Tech,20.49,True,Texas Tech Open,2018-02-02
200 Meters,m,5,"Hall, Elijah",SR-4,Houston,20.51,False,Charlie Thomas Invitational,2018-02-02
200 Meters,f,1,"Irby, Lynna",FR-1,Georgia,22.66,False,SEC Indoor Championships,2018-02-24
200 Meters,f,2,"Brisco, Mikiah",SR-4,LSU,22.81,False,SEC Indoor Championships,2018-02-24
200 Meters,f,3,"Hill, Deanna",SR-4,USC,22.82,False,Clemson Tiger Paw Invitational,2018-02-09
200 Meters,f,4,"Clarke, Kayelle",SR-4,Kentucky,22.83,False,SEC Indoor Championships,2018-02-24
200 Meters,f,5,"Seymour, Ka'Tia",FR-1,Florida State,22.85,False,ACC Championships,2018-02-22
400 Meters,m,1,"Norman, Michael",SO-2,USC,45.00,False,Clemson Tiger Paw Invitational,2018-02-09
400 Meters,m,2,"Bloomfield, Akeem",SO-2,Auburn,45.02,False,Clemson Tiger Paw Invitational,2018-02-09
400 Meters,m,3,"Igbokwe, Obi",JR-3,Arkansas,45.38,False,Tyson Invitational,2018-02-09
400 Meters,m,4,"Solomon, Steven",SR-4,Duke,45.44,False,ACC Championships,2018-02-22
400 Meters,m,5,"Montgomery, Kahmari",JR-3,Houston,45.53,False,The American Indoor Track & Field Championships,2018-02-23
400 Meters,f,1,"McLaughlin, Sydney",FR-1,Kentucky,50.52,False,SEC Indoor Championships,2018-02-24
400 Meters,f,2,"Irby, Lynna",FR-1,Georgia,50.62,False,SEC Indoor Championships,2018-02-24
400 Meters,f,3,"Ellis, Kendall",SR-4,USC,51.53,False,Razorback Invitational,2018-01-26
400 Meters,f,4,"Barnett, Sharrika",JR-3,Florida,51.64,False,Razorback Invitational,2018-01-26
400 Meters,f,5,"Guillory, Briana",JR-3,Iowa,52.08,False,Big Ten Indoor Track and Field Championships,2018-02-23
800 Meters,m,1,"Saruni, Michael",SO-2,UTEP,1:44.89,True,Texas Tech Classic,2018-01-26
800 Meters,m,2,"Gourley, Neil",SR-4,Virginia Tech,1:47.04,False,ACC Championships,2018-02-22
800 Meters,m,3,"Hoppel, Bryce",SO-2,Kansas,1:47.09,False,Iowa State Classic,2018-02-09
800 Meters,m,4,"Lewis, John",JR-3,Clemson,1:47.14,False,ACC Championships,2018-02-22
800 Meters,m,5,"Heppenstall, Robert",JR-3,Wake Forest,1:47.19,False,ACC Championships,2018-02-22
800 Meters,f,1,"Fray, Jazmine",JR-3,Texas A&M,2:02.30,False,Razorback Invitational,2018-01-26
800 Meters,f,1,"Abu, Agnes",SR-4,Mid. Tenn. State,2:02.30,False,Boston University Last Chance Qualifier,2018-02-25
800 Meters,f,3,"Rivers, Danae",SO-2,Penn State,2:03.13,False,Clemson Invitational,2018-01-19
800 Meters,f,4,"Pocratsky, Rachel",JR-3,Virginia Tech,2:03.17,False,ACC Championships,2018-02-22
800 Meters,f,5,"Henderson, Sadi",SR-4,Boise State,2:03.26,True,Mountain West Indoor Track & Field Championships,2018-02-22
Mile,m,1,"Kerr, Josh",SO-2,New Mexico,3:54.72,False,NYRR Millrose Games,2018-02-03
Mile,m,2,"Davis, Jonathan",FR-1,Illinois,3:55.46,True,Illini Classic,2018-01-27
Mile,m,3,"Koech, Jonah",JR-3,UTEP,3:55.81,True,Don Kirby Elite,2018-02-09
Mile,m,4,"Knight, Justyn",JR-3,Syracuse,3:55.82,False,Boston University John Thomas Terrier Classic,2018-01-26
Mile,m,5,"Knevelbaard, Kasey",SO-2,Southern Utah,3:55.95,True,Mountain T's Invitational and Multi's,2018-02-02
Mile,f,1,"Purrier, Elinor",SR-4,New Hampshire,4:26.55,False,Boston University David Hemery Valentine Invitational,2018-02-09
Mile,f,2,"Schweizer, Karissa",SR-4,Missouri,4:27.54,False,Dr Sander Invitational Columbia Challenge,2018-01-26
Mile,f,3,"Jones, Dani",JR-3,Colorado,4:29.32,True,Colorado Invitational 2018,2018-02-01
Mile,f,4,"Cranny, Elise",SR-4,Stanford,4:31.29,False,MPSF Indoor Track & Field Championships,2018-02-23
Mile,f,5,"Hull, Jessica",JR-3,Oregon,4:31.76,False,MPSF Indoor Track & Field Championships,2018-02-23
3000 Meters,m,1,"Knight, Justyn",JR-3,Syracuse,7:45.86,False,NYRR Millrose Games,2018-02-03
3000 Meters,m,2,"Trouard, Andy",SR-4,Northern Arizona,7:48.21,False,Iowa State Classic,2018-02-09
3000 Meters,m,3,"Fisher, Grant",SO-2,Stanford,7:48.56,False,Iowa State Classic,2018-02-09
3000 Meters,m,4,"Gilbert, Colby",SR-4,Washington,7:49.42,False,2018 Husky Classic,2018-02-09
3000 Meters,m,5,"Griffith, Cameron",SO-2,Arkansas,7:49.78,False,2018 Husky Classic,2018-02-09
3000 Meters,f,1,"Schweizer, Karissa",SR-4,Missouri,8:41.60,False,NYRR Millrose Games,2018-02-03
3000 Meters,f,2,"Purrier, Elinor",SR-4,New Hampshire,8:55.68,False,Boston University Season Opener,2017-12-02
3000 Meters,f,3,"Kurgat, Ednah",JR-3,New Mexico,8:57.47,False,2018 Husky Classic,2018-02-09
3000 Meters,f,4,"Hull, Jessica",JR-3,Oregon,8:58.50,False,2018 Husky Classic,2018-02-09
