event,gender,place,athlete,year,team,result,converted,meet,meet_date
60 Meters,m,1,"Bracy, Marvin",FR-1,Florida State,6.54,False,Tyson Invitational,2013-02-08
60 Meters,m,2,"Locke, Dentarius",JR-3,Florida State,6.56,False,Tyson Invitational,2013-02-08
60 Meters,m,3,"Woodson, Markesh",FR-1,Missouri,6.60,False,SEC Indoor Track & Field Championships,2013-02-22
60 Meters,m,4,"Robinson, Bryce",FR-1,Tulsa,6.61,False,2013 Frank Sevigne Husker Invitational,2013-02-01
60 Meters,m,4,"Rowland, Marcus",SR-4,Auburn,6.61,False,SEC Indoor Track & Field Championships,2013-02-22
60 Meters,m,4,"Morris, Joe",SR-4,Colorado,6.61,True,Air Force All-Comers,2013-01-12
60 Meters,f,1,"Scott, Aurieyall",JR-3,UCF,7.13,False,Conference USA Indoor Championships,2013-02-23
60 Meters,f,2,"Duncan, Kimberlyn",SR-4,LSU,7.16,False,2013 Armory Collegiate Invitational,2013-02-01
60 Meters,f,3,"Freeman, Octavious",SO-2,UCF,7.19,False,Auburn Indoor Invitational,2013-01-19
60 Meters,f,3,"Bryant, Dezerea",SO-2,Clemson,7.19,False,The Tiger Challenge,2013-01-11
60 Meters,f,3,"Gardner, English",,Oregon,7.19,False,Millrose Games,2013-02-16
200 Meters,m,1,"Ernest, Aaron",SO-2,LSU,20.53,False,SEC Indoor Track & Field Championships,2013-02-22
200 Meters,m,2,"Jobodwana, Anaso",SO-2,Jackson State,20.65,False,UAB Blazer Indoor Invitational,2013-01-10
200 Meters,m,3,"Dukes, Dedric",SO-2,Florida,20.70,False,SEC Indoor Track & Field Championships,2013-02-22
200 Meters,m,4,"Gauntlett, Akheem",SR-4,Arkansas,20.73,False,Arkansas Final Qualifier,2013-03-01
200 Meters,m,5,"Webb, Ameer",SR-4,Texas A&M,20.75,False,SEC Indoor Track & Field Championships,2013-02-22
200 Meters,f,1,"Duncan, Kimberlyn",SR-4,LSU,22.54,False,SEC Indoor Track & Field Championships,2013-02-22
200 Meters,f,2,"Scott, Aurieyall",JR-3,UCF,22.68,False,Tyson Invitational,2013-02-08
200 Meters,f,3,"Purvis, Ashton",SO-2,Texas A&M,22.70,False,SEC Indoor Track & Field Championships,2013-02-22
200 Meters,f,4,"Brown, Kamaria",SO-2,Texas A&M,22.73,False,SEC Indoor Track & Field Championships,2013-02-22
200 Meters,f,5,"George, Regina",SR-4,Arkansas,23.00,False,SEC Indoor Track & Field Championships,2013-02-22
400 Meters,m,1,"Lendore, Deon",SO-2,Texas A&M,45.15,False,SEC Indoor Track & Field Championships,2013-02-22
400 Meters,m,2,"Graham, Jr, Hugh",SO-2,Florida,45.67,False,SEC Indoor Track & Field Championships,2013-02-22
400 Meters,m,3,"Verburg, David",SR-4,George Mason,45.83,False,SPIRE NCAA D-I Track Invitational,2013-02-08
400 Meters,m,4,"Spratling, Brycen",JR-3,Pittsburgh,45.92,False,Notre Dame Alex Wilson 2013,2013-03-01
400 Meters,m,5,"Berry, Mike",,Oregon,46.03,False,UW Final Qualifier,2013-03-01
400 Meters,f,1,"George, Regina",SR-4,Arkansas,51.40,False,SEC Indoor Track & Field Championships,2013-02-22
400 Meters,f,2,"Francis, Phyllis",,Oregon,52.03,False,MPSF Indoor Track and Field Championships,2013-02-22
400 Meters,f,3,"Spencer, Ashley",SO-2,Illinois,52.07,False,SPIRE NCAA D-I Track Invitational,2013-02-08
400 Meters,f,4,"Brown, Kamaria",SO-2,Texas A&M,52.16,False,SEC Indoor Track & Field Championships,2013-02-22
400 Meters,f,5,"Miller, Shaunae",FR-1,Georgia,52.21,False,SEC Indoor Track & Field Championships,2013-02-22
800 Meters,m,1,"Momoh, Leoman",SR-4,Arkansas,1:46.07,False,Arkansas Final Qualifier,2013-03-01
800 Meters,m,2,"Greer, Elijah",SR,Oregon,1:46.73,False,MPSF Indoor Track and Field Championships,2013-02-22
800 Meters,m,3,"Squella, Tomas",FR-1,Arkansas,1:46.76,False,Arkansas Final Qualifier,2013-03-01
800 Meters,m,4,"Loxsom, Casimir",SR-4,Penn State,1:46.98,False,Penn State Nittany Lion Challenge,2013-01-12
800 Meters,m,5,"Guyota, Boru",,Oregon,1:47.42,False,MPSF Indoor Track and Field Championships,2013-02-22
800 Meters,f,1,"Lipsey, Charlene",SR-4,LSU,2:02.48,False,SEC Indoor Track & Field Championships,2013-02-22
800 Meters,f,2,"Goule, Natoya",JR-3,LSU,2:03.08,False,SEC Indoor Track & Field Championships,2013-02-22
800 Meters,f,3,"Addison, Rebecca",SR-4,Michigan,2:04.01,False,SPIRE NCAA D-I Track Invitational,2013-02-08
800 Meters,f,4,"Murphy, Samantha",JR-3,Illinois,2:04.17,False,SPIRE NCAA D-I Track Invitational,2013-02-08
800 Meters,f,5,"Piliusina, Natalja",JR-3,Oklahoma State,2:04.35,False,Razorback Invitational,2013-01-25
Mile,m,1,"O'Hare, Chris",SR-4,Tulsa,3:52.98,False,Millrose Games,2013-02-16
Mile,m,2,"Lalang, Lawi",JR-3,Arizona,3:54.56,False,Millrose Games,2013-02-16
Mile,m,3,"Hill, Ryan",SR-4,North Carolina St.,3:54.89,False,Millrose Games,2013-02-16
Mile,m,4,"Casey, Patrick",SR-4,Oklahoma,3:56.28,False,Razorback Invitational,2013-01-25
Mile,m,5,"Creese, Robby",SO-2,Penn State,3:57.11,False,UW Husky Classic,2013-02-08
Mile,f,1,"Coburn, Emma",SR-4,Colorado,4:29.86,False,Millrose Games,2013-02-16
Mile,f,2,"D'Agostino, Abbey",JR-3,Dartmouth,4:30.03,False,Millrose Games,2013-02-16
Mile,f,3,"McGee, Cory",JR-3,Florida,4:32.10,False,UW Husky Classic,2013-02-08
Mile,f,4,"Piliusina, Natalja",JR-3,Oklahoma State,4:32.26,False,UW Husky Classic,2013-02-08
Mile,f,5,"Winslow, Amanda",SR-4,Florida State,4:33.22,False,Razorback Invitational,2013-01-25
3000 Meters,m,1,"Lalang, Lawi",JR-3,Arizona,7:42.79,False,Razorback Invitational,2013-01-25
