event,gender,place,athlete,year,team,result,converted,meet,meet_date
100 Meters,m,1,"De Grasse, Andre",JR-3,USC,9.87,False,Mt. SAC Relays,2015-04-16
100 Meters,m,1,"Hester, Tevin",JR-3,Clemson,9.87,False,ACC Outdoor Track & Field Championships,2015-05-14
100 Meters,m,3,"Bromell, Trayvon",SO-2,Baylor,9.90,False,2015 Clyde Littlefield Texas Relays,2015-03-25
100 Meters,m,4,"Vaughn, Clayton",SR-4,Texas-Arlington,9.93,False,Sun Belt Outdoor Track and Field Championships,2015-05-08
100 Meters,m,5,"Lee, Beejay",SR-4,USC,9.96,False,Mt. SAC Relays,2015-04-16
100 Meters,f,1,"Prandini, Jenna",JR-3,Oregon,10.92,False,Mt. SAC Relays,2015-04-16
100 Meters,f,2,"Akinosun, Morolake",JR-3,Texas,11.00,False,Big 12 Outdoor Track & Field Championships,2015-05-15
100 Meters,f,3,"Todd, Jasmine",SO-2,Oregon,11.03,False,Mt. SAC Relays,2015-04-16
100 Meters,f,4,"Burchell, Remona",SR-4,Alabama,11.04,False,Florida Relays,2015-04-02
100 Meters,f,5,"Baisden, Kendall",SO-2,Texas,11.12,False,Longhorn Invitational,2015-05-02
200 Meters,m,1,"Dukes, Dedric",SR-4,Florida,19.99,False,SEC Championships,2015-05-14
200 Meters,m,2,"De Grasse, Andre",JR-3,USC,20.03,False,Pac-12 Track & Field Championships,2015-05-15
200 Meters,m,3,"Hester, Tevin",JR-3,Clemson,20.18,False,ACC Outdoor Track & Field Championships,2015-05-14
200 Meters,m,4,"Bromell, Trayvon",SO-2,Baylor,20.19,False,Longhorn Invitational,2015-05-02
200 Meters,m,5,"Hart, Shavez",SR-4,Texas A&M,20.23,False,SEC Championships,2015-05-14
200 Meters,f,1,"Jefferson, Kyra",SO-2,Florida,22.39,False,SEC Championships,2015-05-14
200 Meters,f,2,"Prandini, Jenna",JR-3,Oregon,22.42,False,Mt. SAC Relays,2015-04-16
200 Meters,f,3,"Wimbley, Shakima",SO-2,Miami,22.43,False,ACC Outdoor Track & Field Championships,2015-05-14
200 Meters,f,4,"Brown, Kamaria",SR-4,Texas A&M,22.64,False,SEC Championships,2015-05-14
200 Meters,f,5,"Bryant, Dezerea",SR-4,Kentucky,22.65,False,SEC Championships,2015-05-14
400 Meters,m,1,"Lendore, Deon",SR-4,Texas A&M,44.41,False,SEC Championships,2015-05-14
400 Meters,m,2,"Norwood, Vernon",SR-4,LSU,44.44,False,LSU Alumni Gold,2015-04-18
400 Meters,m,3,"Glass, Najee",JR-3,Florida,44.79,False,UF Tom Jones Memorial,2015-04-24
400 Meters,m,4,"Taplin, Bralon",SR-4,Texas A&M,44.89,False,36th Sun Angel Classic,2015-04-09
400 Meters,m,5,"Chambers, Marcus",SO-2,Oregon,45.21,False,Pac-12 Track & Field Championships,2015-05-15
400 Meters,f,1,"Wimbley, Shakima",SO-2,Miami,50.84,False,ACC Outdoor Track & Field Championships,2015-05-14
400 Meters,f,2,"Okolo, Courtney",JR-3,Texas,50.99,False,Michael Johnson Classic,2015-04-18
400 Meters,f,3,"Ellis-Watson, Taylor",JR-3,Arkansas,51.18,False,SEC Championships,2015-05-14
400 Meters,f,4,"Baisden, Kendall",SO-2,Texas,51.22,False,Michael Johnson Classic,2015-04-18
400 Meters,f,5,"Bamgbose, Margaret",JR-3,Notre Dame,51.42,False,ACC Outdoor Track & Field Championships,2015-05-14
800 Meters,m,1,"Kidder, Brannon",JR-3,Penn State,1:45.58,False,Payton Jordan Invitational,2015-05-02
800 Meters,m,2,"Walker, Shaquille",SO-2,BYU,1:45.78,False,36th Sun Angel Classic,2015-04-09
800 Meters,m,3,"McBride, Brandon",JR-3,Miss State,1:45.87,False,SEC Championships,2015-05-14
