event,gender,place,athlete,year,team,result,converted,meet,meet_date
100 Meters,m,1,"Watkins, Jelani",SO-2,Arkansas,9.82,False,66th Annual Mt. SAC Relays,2026-04-15
100 Meters,m,2,"Nketia, Eddie",JR-3,USC,9.84,False,66th Annual Mt. SAC Relays,2026-04-15
100 Meters,m,3,"Ajayi, Kanyinsola",JR-3,Auburn,9.90,False,Tom Jones Memorial,2026-04-16
100 Meters,m,3,"Kaalund, Garrett",SR-4,USC,9.90,False,66th Annual Mt. SAC Relays,2026-04-15
100 Meters,m,5,"Okon, Israel",SO-2,Auburn,9.95,False,Tom Jones Memorial,2026-04-16
100 Meters,f,1,"Hodge, Adaejah",FR-1,Georgia,10.77,False,Tom Jones Memorial,2026-04-16
100 Meters,f,2,"Walker, Shenese",SR-4,Florida State,10.80,False,Tom Jones Memorial,2026-04-16
100 Meters,f,3,"Jackson, Shawnti",SO-2,LSU,10.93,False,LSU Invitational,2026-05-02
100 Meters,f,4,"Burnett, Alicia",SR-4,Ole Miss,10.94,False,LSU Invitational,2026-05-02
100 Meters,f,5,"Cameron, Victoria",JR-3,Tarleton State,11.01,False,2026 98th Clyde Littlefield Texas Relays (Univ/College),2026-04-01
100 Meters,f,5,"Wolfe, Abigail",FR-1,Texas,11.01,False,2026 98th Clyde Littlefield Texas Relays (Univ/College),2026-04-01
200 Meters,m,1,"Simusialela, Denzel",SR-4,Kentucky,20.09,False,Jim Green Invitational,2026-05-01
200 Meters,m,2,"Kaalund, Garrett",SR-4,USC,20.10,False,66th Annual Mt. SAC Relays,2026-04-15
200 Meters,m,3,"Bokpin, Mustapha",SO-2,Middle Tennessee,20.11,False,2026 Conference USA Outdoor Track & Field Championships,2026-05-14
200 Meters,m,4,"Watkins, Jelani",SO-2,Arkansas,20.12,False,Arkansas Twilight,2026-05-08
200 Meters,m,5,"Aigboboh, Sean",FR-1,Houston,20.27,False,Cameron Burrell Invitational,2026-04-30
200 Meters,m,5,"Johnson, Ian",SO-2,Clemson,20.27,False,2026 ACC Outdoor Track & Field Championships,2026-05-14
200 Meters,m,5,"Okon, Israel",SO-2,Auburn,20.27,False,Tom Jones Memorial,2026-04-16
200 Meters,f,1,"Ford, JaMeesia",JR-3,South Carolina,22.07,False,2026 Tiger Track Classic,2026-04-25
200 Meters,f,2,"Hodge, Adaejah",FR-1,Georgia,22.10,False,Spec Towns Invitational,2026-04-09
200 Meters,f,3,"Dickson, Camryn",SR-4,Texas A&M,22.15,False,2026 Alumni Muster,2026-05-01
200 Meters,f,4,"Lyons, Yahnari",SO-2,Howard,22.34,False,Tom Jones Memorial,2026-04-16
200 Meters,f,5,"Jackson, Shawnti",SO-2,LSU,22.35,False,Tom Jones Memorial,2026-04-16
400 Meters,m,1,"Simms, Jonathan",FR-1,Georgia,44.02,False,Torrin Lawrence Memorial,2026-05-01
400 Meters,m,1,"Ogazi, Samuel",JR-3,Alabama,44.02,False,Torrin Lawrence Memorial,2026-05-01
400 Meters,m,3,"Davis, Jayden",JR-3,Arizona State,44.29,False,66th Annual Mt. SAC Relays,2026-04-15
400 Meters,m,4,"Wrice, Josiah",SO-2,South Carolina,44.72,False,Tom Jones Memorial,2026-04-16
400 Meters,m,5,"Crumpton, Devan",SO-2,South Carolina,44.93,False,Tom Jones Memorial,2026-04-16
400 Meters,f,1,"Onojuvwevwo, Ella",SR-4,LSU,49.59,False,LSU Battle on the Bayou,2026-04-03
400 Meters,f,2,"Whyte, Madison",JR-3,USC,49.64,False,66th Annual Mt. SAC Relays,2026-04-15
400 Meters,f,3,"Butler, Sanaria",SR-4,Arkansas,49.86,False,66th Annual Mt. SAC Relays,2026-04-15
400 Meters,f,4,"Brown, Kaylyn",JR-3,Arkansas,50.09,False,LSU Invitational,2026-05-02
400 Meters,f,5,"Oakley, Dejanea",SR-4,Georgia,50.55,False,Tom Jones Memorial,2026-04-16
400 Meters,f,5,"Joseph, Rachel",SR-4,Iowa State,50.55,False,2026 Alumni Muster,2026-05-01
800 Meters,m,1,"Marshall, Rivaldo",SR-4,Arkansas,1:44.15,False,John McDonnell Invite,2026-04-24
800 Meters,m,3,"Birnbaum, Simeon",JR-3,Oregon,1:44.67,False,Oregon Twilight,2026-05-08
800 Meters,m,4,"Taylor, Tyrice",SR-4,Arkansas,1:44.74,False,John McDonnell Invite,2026-04-24
800 Meters,m,5,"Narumbe, Peter",FR-1,Texas A&M,1:45.05,False,Tom Jones Memorial,2026-04-16
800 Meters,f,1,"Tolbert, Lauren",SR-4,Duke,1:59.58,False,Tom Jones Memorial,2026-04-16
800 Meters,f,2,"Jallow, Sanu",SR-4,Arkansas,1:59.70,False,66th Annual Mt. SAC Relays,2026-04-15
800 Meters,f,3,"Hargrave, Veronica",SO-2,Indiana,1:59.79,False,Tom Jones Memorial,2026-04-16
800 Meters,f,5,"Longisa, Rosemary",SO-2,Washington St.,2:00.27,False,Payton Jordan Invitational,2026-05-01
1500 Meters,m,1,"Birnbaum, Simeon",JR-3,Oregon,3:31.69,False,Oregon Team Invitational,2026-04-17
1500 Meters,m,2,"Langon, Marco",JR-3,Villanova,3:32.79,False,APU Franson Last Chance,2026-05-07
1500 Meters,m,3,"McFarland, Trent",JR-3,Michigan,3:33.17,False,Wake Forest Invitational,2026-04-16
1500 Meters,m,3,"Masai, Brian",SR-4,Arkansas,3:33.17,False,Arkansas Twilight,2026-05-08
1500 Meters,m,5,"Herger, Brendan",SO-2,Michigan,3:34.06,False,Wake Forest Invitational,2026-04-16
1500 Meters,f,2,"Elbadra, Salma",JR-3,South Carolina,4:02.63,False,Wake Forest Invitational,2026-04-16
