event,gender,place,athlete,year,team,result,converted,meet,meet_date
60 Meters,m,1,"Coleman, Christian",JR-3,Tennessee,6.51,False,Doc Hale VT Elite,2017-02-03
60 Meters,m,1,"Williams, Kendal",SO-2,Georgia,6.51,False,Clemson Last Chance Indoor Invitational,2017-02-17
60 Meters,m,3,"Carnes, Brandon",SR-4,Northern Iowa,6.59,False,Larry Wieczorek Invitational,2017-01-20
60 Meters,m,3,"Burrell, Cameron",SR-4,Houston,6.59,False,The American Indoor Track & Field Championships,2017-02-24
60 Meters,m,3,"Scott, Rafael",JR-3,South Alabama,6.59,False,Vanderbilt Invitational,2017-01-20
60 Meters,m,3,"Haraway, Darryl",SO-2,Florida State,6.59,False,Tyson Invitational,2017-02-10
60 Meters,m,3,"Givans, Senoj-Jay",SR-4,Texas,6.59,False,Big 12 Indoor Track & Field Championships,2017-02-24
60 Meters,m,3,"Burke, Mario",SO-2,Houston,6.59,False,The American Indoor Track & Field Championships,2017-02-24
60 Meters,f,1,"Cunliffe, Hannah",JR-3,Oregon,7.09,True,New Mexico Don Kirby Invitational,2017-02-10
60 Meters,f,2,"Oliver, Javianne",SR-4,Kentucky,7.18,False,2017 Rod McCravy Memorial T&F Meet,2017-01-20
60 Meters,f,2,"Hobbs, Aleia",JR-3,LSU,7.18,False,SEC Championships,2017-02-24
60 Meters,f,4,"Brisco, Mikiah",JR-3,LSU,7.19,False,Razorback Invitational,2017-01-27
60 Meters,f,4,"Henderson, Ashley",JR-3,San Diego St.,7.19,True,2017 Mountain West Indoor Track & Field Championships,2017-02-23
200 Meters,m,1,"Richards, Jereem",JR-3,Alabama,20.34,False,SEC Championships,2017-02-24
200 Meters,m,2,"Coleman, Christian",JR-3,Tennessee,20.46,False,Clemson Tiger Paw Indoor,2017-02-10
200 Meters,m,3,"Thymes, Just'N",SR-4,USC,20.47,False,Tyson Invitational,2017-02-10
200 Meters,m,4,"Mitchell-Blake, Nethaneel",SR-4,LSU,20.49,False,Tyson Invitational,2017-02-10
200 Meters,m,5,"Williams, Cameron",SR-4,Boston U.,20.57,False,Patriot League Indoor Track & Field Championships,2017-02-17
200 Meters,f,1,"Stevens, Deajah",SO-2,Oregon,22.65,False,Columbia East-West Challenge,2017-01-27
200 Meters,f,2,"Cunliffe, Hannah",JR-3,Oregon,22.67,True,New Mexico Don Kirby Invitational,2017-02-10
200 Meters,f,3,"Hill, Deanna",JR-3,USC,22.74,False,Tyson Invitational,2017-02-10
200 Meters,f,4,"Brown, Brittany",JR-3,Iowa,22.79,False,Big Ten Indoor Track and Field Championships,2017-02-24
