event,gender,place,athlete,year,team,result,converted,meet,meet_date
100 Meters,m,1,"Oduduru, Divine",JR-3,Texas Tech,9.94,False,Michael Johnson Invitational,2019-04-19
100 Meters,m,2,"Burke, Mario",SR-4,Houston,9.95,False,The American Outdoor Track & Field Championships,2019-05-10
100 Meters,m,3,"Gillespie, Cravon",SR-4,Oregon,9.97,False,2019 Pac-12 Track & Field Championships,2019-05-04
100 Meters,m,4,"Sani Brown, Hakim",SO-2,Florida,9.99,False,SEC Outdoor Track & Field Championships,2019-05-09
100 Meters,m,5,"Ekevwo, Raymond",JR-3,Florida,10.02,False,SEC Outdoor Track & Field Championships,2019-05-09
100 Meters,f,1,"White, Kayla",SR-4,N. Carolina A&T,10.96,False,MEAC Outdoor Track & Field Championships,2019-05-02
100 Meters,f,2,"Terry, Twanisha",SO-2,USC,10.99,False,USC vs UCLA,2019-04-27
100 Meters,f,3,"Richardson, Sha'Carri",FR-1,LSU,11.00,False,SEC Outdoor Track & Field Championships,2019-05-09
100 Meters,f,4,"Gray, Kianna",SR-4,Kentucky,11.06,False,SEC Outdoor Track & Field Championships,2019-05-09
100 Meters,f,5,"Grant, Kiara",SO-2,Norfolk State,11.07,False,MEAC Outdoor Track & Field Championships,2019-05-02
200 Meters,m,1,"Oduduru, Divine",JR-3,Texas Tech,19.76,False,Michael Johnson Invitational,2019-04-19
200 Meters,m,2,"Rowe, Rodney",SR-4,N. Carolina A&T,20.12,False,MEAC Outdoor Track & Field Championships,2019-05-02
200 Meters,m,3,"Flournoy, Jaron",SR-4,LSU,20.13,False,LSU Alumni Gold,2019-04-20
200 Meters,m,4,"Gillespie, Cravon",SR-4,Oregon,20.17,False,2019 Pac-12 Track & Field Championships,2019-05-04
200 Meters,m,5,"Gray, Nick",SR-4,Ohio State,20.20,False,Gamecock Invitational Outdoor,2019-04-13
200 Meters,m,5,"Amoah, Joseph",JR-3,Coppin State,20.20,False,MEAC Outdoor Track & Field Championships,2019-05-02
200 Meters,f,1,"White, Kayla",SR-4,N. Carolina A&T,22.52,False,MEAC Outdoor Track & Field Championships,2019-05-02
200 Meters,f,2,"Battle, Anavia",SO-2,Ohio State,22.54,False,Florida Relays,2019-03-28
200 Meters,f,3,"Richardson, Sha'Carri",FR-1,LSU,22.57,False,SEC Outdoor Track & Field Championships,2019-05-09
200 Meters,f,4,"Steiner, Abby",FR-1,Kentucky,22.59,False,SEC Outdoor Track & Field Championships,2019-05-09
200 Meters,f,5,"Sturgis , Cambrea",FR-1,N. Carolina A&T,22.62,False,MEAC Outdoor Track & Field Championships,2019-05-02
400 Meters,m,1,"Stewart, Trevor",JR-3,N. Carolina A&T,44.38,False,MEAC Outdoor Track & Field Championships,2019-05-02
400 Meters,m,2,"Hall, Quincy",JR-3,South Carolina,44.53,False,Gamecock Invitational Outdoor,2019-04-13
400 Meters,m,3,"Richard, Tyrell",SR-4,South Carolina St.,44.81,False,UNF Invitational,2019-04-05
400 Meters,m,4,"London, Wil",SR-4,Baylor,44.93,False,Michael Johnson Invitational,2019-04-19
400 Meters,m,5,"Mokaleng, Derrick",JR-3,TCU,45.17,False,Michael Johnson Invitational,2019-04-19
400 Meters,f,1,"Barnett, Sharrika",SR-4,Florida,50.96,False,Florida Relays,2019-03-28
400 Meters,f,2,"Campbell, Kethlin",SO-2,Arkansas,51.03,False,SEC Outdoor Track & Field Championships,2019-05-09
400 Meters,f,3,"Richardson, Syaira",SO-2,Texas A&M,51.17,False,SEC Outdoor Track & Field Championships,2019-05-09
400 Meters,f,4,"Jonathas, Wadeline",JR-3,South Carolina,51.19,False,SEC Outdoor Track & Field Championships,2019-05-09
400 Meters,f,5,"Roberts, Kaelin",SO-2,USC,51.25,False,2019 Pac-12 Track & Field Championships,2019-05-04
800 Meters,m,1,"Dixon, Devin",JR-3,Texas A&M,1:44.76,False,SEC Outdoor Track & Field Championships,2019-05-09
800 Meters,m,2,"Arop, Marco",SO-2,Miss State,1:45.50,False,Crimson Tide Invitational,2019-04-11
800 Meters,m,3,"Hoppel, Bryce",JR-3,Kansas,1:45.87,False,National Relay Championships,2019-04-26
800 Meters,m,4,"Jewett, Isaiah",JR-3,USC,1:46.11,False,Mt. SAC Relays,2019-04-18
800 Meters,m,5,"White, Joseph",SR-4,Georgetown,1:46.31,False,Mt. SAC Relays,2019-04-18
800 Meters,f,1,"Wilson-Perteete, Avi' Tal",SO-2,UNLV,2:02.41,False,Bryan Clay Invitational,2019-04-17
800 Meters,f,2,"Ellsworth, Lauren",SO-2,BYU,2:02.49,False,40th Sun Angel Track Classic,2019-04-05
800 Meters,f,3,"Ejore, Susan",SR-4,Oregon,2:02.66,False,Payton Jordan Invitational,2019-05-02
800 Meters,f,4,"Bissah, Martha",JR-3,Norfolk State,2:03.13,False,MEAC Outdoor Track & Field Championships,2019-05-02
800 Meters,f,5,"Fray, Jazmine",SR-4,Texas A&M,2:03.39,False,Michael Johnson Invitational,2019-04-19
1500 Meters,m,1,"Hoare, Oliver",JR-3,Wisconsin,3:37.20,False,Bryan Clay Invitational,2019-04-17
1500 Meters,m,2,"Villarreal, Carlos",JR-3,Arizona,3:37.22,False,Bryan Clay Invitational,2019-04-17
1500 Meters,m,3,"Nuguse, Yared",SO-2,Notre Dame,3:38.32,False,Bryan Clay Invitational,2019-04-17
1500 Meters,m,4,"Paulson, William",SR-4,Arizona State,3:38.35,False,Bryan Clay Invitational,2019-04-17
1500 Meters,m,5,"Worley, Sam",SO-2,Texas,3:38.64,False,Bryan Clay Invitational,2019-04-17
1500 Meters,f,1,"Hull, Jessica",JR-3,Oregon,4:12.08,False,Payton Jordan Invitational,2019-05-02
1500 Meters,f,2,"Harris, Jessica",SR-4,Notre Dame,4:13.04,False,Virginia Challenge,2019-04-19
1500 Meters,f,3,"Fuller, Alexis",SR-4,Boise State,4:13.06,False,Portland Twilight,2019-05-03
1500 Meters,f,4,"Johnson, Sinclaire",JR-3,Oklahoma State,4:13.35,False,Cardinal Classic,2019-04-19
1500 Meters,f,5,"Feeny, Sarah",JR-3,Utah,4:13.53,False,Bryan Clay Invitational,2019-04-17
5000 Meters,m,1,"Day, Tyler",JR-3,Northern Arizona,13:25.06,False,Payton Jordan Invitational,2019-05-02
5000 Meters,m,2,"Fisher, Grant",SR-4,Stanford,13:29.52,False,Cardinal Classic,2019-04-19
5000 Meters,m,3,"Mantz, Conner",SO-2,BYU,13:29.73,False,Payton Jordan Invitational,2019-05-02
5000 Meters,m,4,"Beamish, Geordie",JR-3,Northern Arizona,13:31.58,False,Payton Jordan Invitational,2019-05-02
5000 Meters,m,5,"Young, Clayton",SR-4,BYU,13:31.79,False,Payton Jordan Invitational,2019-05-02
5000 Meters,f,1,"Kelati, Weini",SO-2,New Mexico,15:23.46,False,Bryan Clay Invitational,2019-04-17
5000 Meters,f,2,"Stoner, Paige",SR-4,Syracuse,15:28.47,False,Payton Jordan Invitational,2019-05-02
5000 Meters,f,3,"Cohen, Adva",SO-2,New Mexico,15:31.01,False,Bryan Clay Invitational,2019-04-17
5000 Meters,f,4,"Kurgat, Ednah",SR-4,New Mexico,15:32.70,False,Payton Jordan Invitational,2019-05-02
5000 Meters,f,5,"Hull, Jessica",JR-3,Oregon,15:34.93,False,Stanford Invitational,2019-03-29
"10,000 Meters",m,1,"McMillan, Connor",SR-4,BYU,28:11.30,False,Payton Jordan Invitational,2019-05-02
