event,gender,place,athlete,year,team,result,converted,meet,meet_date
60 Meters,m,1,"Baker, Ronnie",SR-4,TCU,6.51,False,Big 12 Indoor Track & Field Championships,2016-02-26
60 Meters,m,2,"Coleman, Christian",SO-2,Tennessee,6.54,False,Doc Hale VT Elite,2016-02-05
60 Meters,m,2,"Teeters, John",JR-3,Oklahoma State,6.54,False,Razorback Invitational,2016-01-29
60 Meters,m,4,"Burrell, Cameron",JR-3,Houston,6.55,False,2016 Leonard Hilton Memorial Invitational,2016-01-15
60 Meters,m,5,"Woodson, Markesh",SR-4,Missouri,6.59,False,Tyson Invitational,2016-02-12
60 Meters,f,1,"Sanders, Shayla",SR-4,Florida,7.17,False,Razorback Invitational,2016-01-29
60 Meters,f,2,"Brisco, Mikiah",SO-2,LSU,7.18,False,SEC Indoor Track & Field Championships,2016-02-26
60 Meters,f,3,"Todd, Jasmine",JR-3,Oregon,7.20,False,Razorback Invitational,2016-01-29
60 Meters,f,4,"Cunliffe, Hannah",SO-2,Oregon,7.21,False,MPSF Indoor Track & Field Championships,2016-02-26
60 Meters,f,5,"Daniels, Teahna",FR-1,Texas,7.23,False,Tyson Invitational,2016-02-12
60 Meters,f,5,"Brown, Felicia",SR-4,Tennessee,7.23,False,SEC Indoor Track & Field Championships,2016-02-26
200 Meters,m,1,"Rodney, Brendon",SR-4,LIU Brooklyn,20.46,False,Northeast Conference Indoor Track & Field Championships,2016-02-19
200 Meters,m,2,"Mitchell-Blake, Nethaneel",JR-3,LSU,20.51,False,SEC Indoor Track & Field Championships,2016-02-26
200 Meters,m,3,"Coleman, Christian",SO-2,Tennessee,20.54,False,SEC Indoor Track & Field Championships,2016-02-26
200 Meters,m,4,"Hall, Arman",SR-4,Florida,20.55,False,SEC Indoor Track & Field Championships,2016-02-26
200 Meters,m,5,"Jenkins, Devin",SR-4,Texas A&M,20.58,False,Charlie Thomas Invitational,2016-02-05
200 Meters,m,5,"Williams, Cameron",JR-3,Boston U.,20.58,False,Patriot League Indoor Track & Field Championships,2016-02-19
200 Meters,f,1,"Brown, Felicia",SR-4,Tennessee,22.45,False,SEC Indoor Track & Field Championships,2016-02-26
200 Meters,f,2,"Jefferson, Kyra",SR-4,Florida,22.72,False,Razorback Invitational,2016-01-29
200 Meters,f,3,"Okolo, Courtney",SR-4,Texas,22.79,False,Big 12 Indoor Track & Field Championships,2016-02-26
200 Meters,f,4,"Martin, Jada",JR-3,LSU,22.92,False,SEC Indoor Track & Field Championships,2016-02-26
200 Meters,f,5,"Ellis-Watson, Taylor",SR-4,Arkansas,22.99,False,SEC Indoor Track & Field Championships,2016-02-26
400 Meters,m,1,"Bilderback, Zack",SR-4,Texas,45.27,False,Big 12 Indoor Track & Field Championships,2016-02-26
400 Meters,m,2,"Cherry, Michael",JR-3,LSU,45.61,False,SEC Indoor Track & Field Championships,2016-02-26
400 Meters,m,3,"Brown, Izaiah",FR-1,Rutgers,45.62,False,Big Ten Indoor Track and Field Championships,2016-02-26
400 Meters,m,4,"Washington, Marqueze",SR-4,Arkansas,45.72,False,Arkansas Qualifier,2016-02-19
400 Meters,m,5,"Montgomery, Kahmari",FR-1,Missouri,45.78,False,SEC Indoor Track & Field Championships,2016-02-26
400 Meters,f,1,"Okolo, Courtney",SR-4,Texas,51.06,False,Big 12 Indoor Track & Field Championships,2016-02-26
400 Meters,f,2,"Ellis-Watson, Taylor",SR-4,Arkansas,51.84,False,SEC Indoor Track & Field Championships,2016-02-26
400 Meters,f,3,"Little, Shamier",JR-3,Texas A&M,52.15,False,SEC Indoor Track & Field Championships,2016-02-26
400 Meters,f,4,"Jefferson, Kyra",SR-4,Florida,52.19,False,Tyson Invitational,2016-02-12
400 Meters,f,5,"Reynolds, Robin",SR-4,Florida,52.27,False,Tyson Invitational,2016-02-12
800 Meters,m,1,"Brazier, Donavan",FR-1,Texas A&M,1:45.93,False,Texas A&M Team Invitational,2016-01-15
800 Meters,m,2,"Murphy, Clayton",JR-3,Akron,1:46.13,False,Iowa State Classic,2016-02-12
800 Meters,m,3,"Arroyo, Andres",JR-3,Florida,1:46.20,False,SEC Indoor Track & Field Championships,2016-02-26
800 Meters,m,4,"Harris, Isaiah",FR-1,Penn State,1:46.24,False,Big Ten Indoor Track and Field Championships,2016-02-26
800 Meters,m,5,"Hernandez, Hector",SR-4,Texas A&M,1:46.32,False,SEC Indoor Track & Field Championships,2016-02-26
800 Meters,f,1,"Rogers, Raevyn",SO-2,Oregon,2:00.90,False,NYRR Millrose Games,2016-02-20
800 Meters,f,2,"Southerland, Sabrina",JR-3,Georgetown,2:03.10,False,Villanova Invitational,2016-02-06
800 Meters,f,3,"Barowski, Cecilia",SR-4,Princeton,2:03.24,True,Princeton Invitational (college),2016-02-21
800 Meters,f,4,"Banks, Anima",SR-4,Duke,2:03.41,False,David Hemery Valentine Invitational,2016-02-12
800 Meters,f,5,"Camacho, Savannah",JR-3,Oklahoma State,2:03.48,False,Alex Wilson Invitational 2016,2016-02-20
Mile,m,1,"Yorks, Izaic",SR-4,Washington,3:53.89,False,MPSF Indoor Track & Field Championships,2016-02-26
Mile,m,2,"McGorty, Sean",SO-2,Stanford,3:53.95,False,MPSF Indoor Track & Field Championships,2016-02-26
Mile,m,3,"Haney, Blake",SO-2,Oregon,3:56.36,False,NYRR Millrose Games,2016-02-20
Mile,m,4,"Knight, Justyn",FR-1,Syracuse,3:56.87,False,John Thomas Terrier Invitational,2016-01-29
Mile,m,5,"Zienasellassie, Futsum",JR-3,Northern Arizona,3:56.98,True,Mountain T's Invitational and Multi's,2016-01-29
